Entity,Code,Day,Average surface temperature
United States,USA,2000-08-15,21.240604
United States,USA,2000-09-15,16.36446
United States,USA,2000-10-15,9.945083
United States,USA,2000-11-15,1.095084
United States,USA,2000-12-15,-3.8077514
United States,USA,2001-01-15,-2.4637196
United States,USA,2001-02-15,-1.20591
United States,USA,2001-03-15,2.0553615
United States,USA,2001-04-15,9.035197
United States,USA,2001-05-15,14.501441
United States,USA,2001-06-15,19.263847
United States,USA,2001-07-15,21.787539
United States,USA,2001-08-15,21.552456
United States,USA,2001-09-15,16.79413
United States,USA,2001-10-15,9.515244
United States,USA,2001-11-15,4.964757
United States,USA,2001-12-15,-1.3685819
United States,USA,2002-01-15,-1.2991927
United States,USA,2002-02-15,-0.66262716
United States,USA,2002-03-15,1.7479981
United States,USA,2002-04-15,9.024198
United States,USA,2002-05-15,13.588077
United States,USA,2002-06-15,20.007774
United States,USA,2002-07-15,22.62962
United States,USA,2002-08-15,20.872284
United States,USA,2002-09-15,17.467619
United States,USA,2002-10-15,9.135126
United States,USA,2002-11-15,3.4845028
United States,USA,2002-12-15,-0.5919364
United States,USA,2003-01-15,-2.277538
United States,USA,2003-02-15,-1.5864803
United States,USA,2003-03-15,2.9528475
United States,USA,2003-04-15,8.827653
United States,USA,2003-05-15,14.10362
United States,USA,2003-06-15,18.757076
United States,USA,2003-07-15,22.52848
United States,USA,2003-08-15,21.702248
United States,USA,2003-09-15,16.184519
United States,USA,2003-10-15,11.473907
United States,USA,2003-11-15,3.1130917
United States,USA,2003-12-15,-1.2434791
United States,USA,2004-01-15,-4.276922
United States,USA,2004-02-15,-1.7791827
United States,USA,2004-03-15,4.742953
United States,USA,2004-04-15,9.318927
United States,USA,2004-05-15,15.171243
United States,USA,2004-06-15,19.240074
United States,USA,2004-07-15,21.691902
United States,USA,2004-08-15,20.215052
United States,USA,2004-09-15,16.546547
United States,USA,2004-10-15,10.753618
United States,USA,2004-11-15,3.9363785
United States,USA,2004-12-15,-1.0421329
United States,USA,2005-01-15,-2.2138915
United States,USA,2005-02-15,0.017281244
United States,USA,2005-03-15,3.2683723
United States,USA,2005-04-15,8.814579
United States,USA,2005-05-15,14.176364
United States,USA,2005-06-15,19.65132
United States,USA,2005-07-15,22.70629
United States,USA,2005-08-15,21.474274
United States,USA,2005-09-15,17.908884
United States,USA,2005-10-15,10.566692
United States,USA,2005-11-15,3.5106435
United States,USA,2005-12-15,-1.6334668
United States,USA,2006-01-15,-0.27760416
United States,USA,2006-02-15,-0.76827073
United States,USA,2006-03-15,2.5785673
United States,USA,2006-04-15,9.862658
United States,USA,2006-05-15,15.155453
United States,USA,2006-06-15,20.125322
United States,USA,2006-07-15,23.063152
United States,USA,2006-08-15,21.089811
United States,USA,2006-09-15,16.045729
United States,USA,2006-10-15,9.663309
United States,USA,2006-11-15,3.299784
United States,USA,2006-12-15,-0.2462232
United States,USA,2007-01-15,-3.108744
United States,USA,2007-02-15,-2.420643
United States,USA,2007-03-15,4.160882
United States,USA,2007-04-15,8.549006
United States,USA,2007-05-15,15.139254
United States,USA,2007-06-15,19.967525
United States,USA,2007-07-15,22.540686
United States,USA,2007-08-15,22.25073
United States,USA,2007-09-15,17.519402
United States,USA,2007-10-15,11.159847
United States,USA,2007-11-15,4.351275
United States,USA,2007-12-15,-1.7367761
United States,USA,2008-01-15,-3.7869124
United States,USA,2008-02-15,-1.820615
United States,USA,2008-03-15,2.6670616
United States,USA,2008-04-15,7.984417
United States,USA,2008-05-15,13.713589
United States,USA,2008-06-15,19.521511
United States,USA,2008-07-15,21.87766
United States,USA,2008-08-15,20.688936
United States,USA,2008-09-15,16.696436
United States,USA,2008-10-15,9.311667
United States,USA,2008-11-15,3.4137964
United States,USA,2008-12-15,-2.381309
United States,USA,2009-01-15,-3.753484
United States,USA,2009-02-15,-0.49565613
United States,USA,2009-03-15,2.6503875
United States,USA,2009-04-15,8.227604
United States,USA,2009-05-15,14.843495
United States,USA,2009-06-15,18.990047
United States,USA,2009-07-15,21.64175
United States,USA,2009-08-15,20.530487
United States,USA,2009-09-15,17.24124
United States,USA,2009-10-15,8.642539
United States,USA,2009-11-15,3.9763966
United States,USA,2009-12-15,-3.2107005
United States,USA,2010-01-15,-3.8255947
United States,USA,2010-02-15,-2.3556123
United States,USA,2010-03-15,3.2486923
United States,USA,2010-04-15,9.604146
United States,USA,2010-05-15,14.148252
United States,USA,2010-06-15,20.0069
United States,USA,2010-07-15,22.23981
United States,USA,2010-08-15,21.883549
United States,USA,2010-09-15,17.501978
United States,USA,2010-10-15,11.065742
United States,USA,2010-11-15,3.525329
United States,USA,2010-12-15,-2.9034207
United States,USA,2011-01-15,-3.768891
United States,USA,2011-02-15,-2.024362
United States,USA,2011-03-15,3.1983085
United States,USA,2011-04-15,8.690683
United States,USA,2011-05-15,13.675299
United States,USA,2011-06-15,19.71462
United States,USA,2011-07-15,22.89294
United States,USA,2011-08-15,22.129547
United States,USA,2011-09-15,17.25473
United States,USA,2011-10-15,10.658616
United States,USA,2011-11-15,2.8707988
United States,USA,2011-12-15,-0.6935133
United States,USA,2012-01-15,-2.3465538
United States,USA,2012-02-15,0.53979343
United States,USA,2012-03-15,5.90021
United States,USA,2012-04-15,10.350671
United States,USA,2012-05-15,15.583132
United States,USA,2012-06-15,20.512323
United States,USA,2012-07-15,23.197271
United States,USA,2012-08-15,21.674444
United States,USA,2012-09-15,17.18737
United States,USA,2012-10-15,9.907845
United States,USA,2012-11-15,3.2666364
United States,USA,2012-12-15,-1.0976145
United States,USA,2013-01-15,-2.463198
United States,USA,2013-02-15,-1.3753012
United States,USA,2013-03-15,2.2309268
